,C,Um,Ur,Ud,C_target
0,111.16963200000001,0.70567,0.70691,0.77733,1.8
1,9.098622,0.70583,0.70684,0.77735,1.8
2,185.414459,0.70587,0.70739,0.77751,1.8
3,107.156784,0.70613,0.70756,0.77753,1.8
4,76.868965,0.70634,0.70779,0.77755,1.8
5,131.004913,0.70637,0.70798,0.77761,1.8
6,155.165253,0.70641,0.70811,0.77764,1.8
7,35.314354,0.70672,0.70823,0.77759,1.8
8,43.463329,0.7068,0.70837,0.77764,1.8
9,40.992123,0.70685,0.70844,0.7777,1.8
10,50.820995,0.70685,0.70847,0.77769,1.8
11,128.765274,0.70696,0.70884,0.77773,1.8
12,76.652481,0.70684,0.70853,0.7778,1.8
13,42.823608,0.70698,0.70863,0.77777,1.8
14,60.575451,0.70716,0.70894,0.77778,1.8
15,144.422287,0.70713,0.70913,0.77775,1.8
16,10.838842,0.7075,0.7093,0.77784,1.8
17,-33.350246,0.70765,0.70936,0.77788,1.8
18,109.807999,0.70769,0.70986,0.7779,1.8
19,-58.62677,0.70796,0.70974,0.77793,1.8
20,112.778511,0.70778,0.71,0.77795,1.8
21,150.162674,0.70784,0.71019,0.77795,1.8
22,92.753365,0.70795,0.71019,0.77796,1.8
23,-56.724167,0.70817,0.71004,0.77796,1.8
24,95.571342,0.70821,0.71059,0.77799,1.8
25,-3.266336,0.70835,0.71048,0.77799,1.8
26,-3.805656,0.70854,0.71076,0.77806,1.8
27,51.615486,0.70859,0.71101,0.77804,1.8
28,-43.23632,0.70879,0.711,0.77809,1.8
29,31.375555,0.70875,0.71119,0.77806,1.8
30,81.359383,0.70866,0.71121,0.77813,1.8
31,6.832199,0.70878,0.71115,0.77814,1.8
32,-38.880009,0.70897,0.71128,0.77818,1.8
33,91.171104,0.70879,0.71142,0.77815,1.8
34,-52.139996,0.70915,0.7115,0.77814,1.8
35,-86.045776,0.70922,0.71151,0.77813,1.8
36,75.074051,0.70901,0.7117,0.77815,1.8
37,-75.225708,0.70924,0.71156,0.77816,1.8
38,-42.123234,0.70927,0.71171,0.77819,1.8
39,92.247971,0.70903,0.71177,0.77817,1.8
40,1.025169,0.7093,0.71189,0.77819,1.8
41,-43.814899,0.70938,0.71186,0.77824,1.8
42,-28.013483,0.70946,0.71203,0.77823,1.8
43,-49.296101,0.70957,0.71213,0.77825,1.8
44,-47.047661,0.7095,0.71203,0.77814,1.8
45,-92.445999,0.7096,0.71204,0.77813,1.8
46,127.950722,0.70912,0.71201,0.77815,1.8
47,169.95253,0.709,0.71194,0.77819,1.8
48,-75.311653,0.70937,0.71176,0.77815,1.8
49,-93.060829,0.70929,0.71158,0.77811,1.8
50,-61.722057,0.70918,0.71152,0.77807,1.8
51,-59.770298,0.70923,0.71159,0.77811,1.8
52,-92.006302,0.70924,0.71152,0.77807,1.8
53,-67.353394,0.70925,0.71161,0.7781,1.8
54,-0.04337,0.70928,0.71185,0.77815,1.8
55,-38.553406,0.70937,0.71187,0.77815,1.8
56,66.219627,0.7093,0.7121,0.77817,1.8
57,-73.152832,0.70952,0.71198,0.77815,1.8
58,56.344032,0.70934,0.71212,0.77815,1.8
59,78.276741,0.7094,0.71227,0.77814,1.8
60,-42.082272,0.70953,0.71209,0.77824,1.8
61,6.849874,0.7095,0.7122,0.77822,1.8
62,4.317118,0.70961,0.71236,0.77826,1.8
63,-10.08468,0.70953,0.71219,0.77826,1.8
64,-2.76695,0.70967,0.71242,0.77822,1.8
65,101.383736,0.70963,0.71267,0.77823,1.8
66,-41.21814,0.70986,0.71258,0.77827,1.8
67,98.949753,0.70945,0.71241,0.77827,1.8
68,3.636352,0.70977,0.71259,0.77829,1.8
69,-125.603462,0.7101,0.71269,0.77829,1.8
70,36.574787,0.70976,0.71269,0.77832,1.8
71,-90.513672,0.71009,0.71276,0.77829,1.8
72,-93.32592,0.71009,0.71276,0.7783,1.8
73,-95.615181,0.71008,0.71274,0.7783,1.8
74,-9.792183,0.71009,0.713,0.77827,1.8
75,-30.050211,0.71011,0.71297,0.7783,1.8
76,-193.223114,0.71033,0.71284,0.77828,1.8
77,87.160965,0.70961,0.71261,0.77823,1.8
78,-84.125214,0.70973,0.71226,0.77818,1.8
79,21.624546,0.70962,0.71243,0.77823,1.8
80,-49.211903,0.70966,0.71225,0.77816,1.8
81,22.543377,0.70937,0.71206,0.77814,1.8
82,47.088993,0.70923,0.71194,0.77806,1.8
83,48.858158,0.70922,0.71193,0.77813,1.8
84,-35.131535,0.70936,0.71186,0.77809,1.8
85,57.188526,0.70925,0.712,0.77813,1.8
86,-2.50404,0.7093,0.71188,0.77804,1.8
87,19.333614,0.70937,0.71206,0.77815,1.8
88,68.639244,0.70924,0.71201,0.77817,1.8
89,94.492516,0.70922,0.71206,0.77816,1.8
90,52.097084,0.70943,0.71224,0.77816,1.8
91,28.570871,0.70929,0.71197,0.7781,1.8
92,-98.926483,0.70955,0.71195,0.77816,1.8
93,-61.042328,0.70941,0.71185,0.77818,1.8
94,-75.48484,0.70954,0.712,0.77815,1.8
95,-86.352592,0.70958,0.71203,0.77813,1.8
96,-48.628948,0.70954,0.71208,0.77816,1.8
97,26.423319,0.70961,0.71243,0.77819,1.8
98,-71.646072,0.70969,0.71224,0.7782,1.8
99,-59.812454,0.70975,0.71236,0.77817,1.8
100,-39.740055,0.70968,0.71231,0.77818,1.8
101,84.888405,0.70945,0.71237,0.77824,1.8
102,-6.371898,0.70978,0.71257,0.77822,1.8
