,Um,Ur,Ud,C_target
0,0.70172,0.70287,0.77656,0.0
1,0.70175,0.70305,0.77649,0.0
2,0.70177,0.70299,0.77649,0.0
3,0.70173,0.70329,0.77649,0.0
4,0.70214,0.70309,0.77651,0.0
5,0.70196,0.70317,0.77647,0.0
6,0.70197,0.70327,0.77653,0.0
7,0.70189,0.70323,0.77649,0.0
8,0.70182,0.70339,0.77651,0.0
9,0.70184,0.70338,0.77652,0.0
10,0.70193,0.70342,0.77655,0.0
11,0.70218,0.70338,0.77651,0.0
12,0.70204,0.70319,0.77658,0.0
13,0.70208,0.70335,0.77653,0.0
14,0.70203,0.70346,0.77652,0.0
15,0.70203,0.70342,0.77653,0.0
16,0.70203,0.70356,0.77656,0.0
17,0.70222,0.70358,0.77655,0.0
18,0.70219,0.70335,0.7766,0.0
19,0.70209,0.7036,0.77656,0.0
20,0.70208,0.70352,0.77654,0.0
21,0.70227,0.70338,0.77656,0.0
22,0.70226,0.70356,0.77654,0.0
23,0.70227,0.70353,0.77655,0.0
24,0.70241,0.7034,0.77656,0.0
25,0.70223,0.70357,0.77657,0.0
26,0.70223,0.70382,0.77661,0.0
27,0.7021,0.7035,0.77655,0.0
28,0.7021,0.70362,0.77652,0.0
29,0.70226,0.7034,0.77663,0.0
30,0.70212,0.70363,0.7766,0.0
31,0.70228,0.70367,0.77658,0.0
32,0.70229,0.70364,0.77658,0.0
33,0.70211,0.70369,0.77662,0.0
34,0.70224,0.70384,0.77657,0.0
35,0.7023,0.7036,0.7766,0.0
36,0.70227,0.7039,0.77661,0.0
37,0.70222,0.70391,0.77663,0.0
38,0.70245,0.70392,0.7766,0.0
39,0.70241,0.70377,0.77658,0.0
40,0.70234,0.70372,0.77664,0.0
41,0.70245,0.70393,0.77663,0.0
42,0.70242,0.70398,0.77661,0.0
43,0.70256,0.70398,0.7766,0.0
44,0.70227,0.70399,0.77659,0.0
45,0.70239,0.70409,0.77663,0.0
46,0.70246,0.70393,0.77664,0.0
47,0.70252,0.70388,0.77659,0.0
48,0.70241,0.70395,0.77659,0.0
49,0.70242,0.70405,0.77664,0.0
50,0.70249,0.7042,0.77664,0.0
51,0.7027,0.70417,0.77663,0.0
52,0.70264,0.70396,0.77662,0.0
53,0.70245,0.70399,0.77658,0.0
54,0.70242,0.70392,0.77661,0.0
55,0.70247,0.70393,0.77659,0.0
56,0.70241,0.70398,0.77663,0.0
57,0.70275,0.70385,0.77663,0.0
58,0.7023,0.70417,0.77667,0.0
59,0.70242,0.70404,0.77663,0.0
60,0.70249,0.70415,0.77662,0.0
61,0.7024,0.70418,0.77664,0.0
62,0.70275,0.70411,0.77666,0.0
63,0.70255,0.70422,0.77659,0.0
64,0.70273,0.70412,0.7766,0.0
65,0.70244,0.70433,0.77665,0.0
66,0.70268,0.70423,0.77665,0.0
67,0.70259,0.70445,0.77665,0.0
68,0.70261,0.70421,0.77666,0.0
69,0.7026,0.70431,0.77665,0.0
70,0.70258,0.70428,0.77669,0.0
71,0.70275,0.70423,0.77667,0.0
72,0.70279,0.70444,0.77663,0.0
73,0.70271,0.70429,0.77661,0.0
74,0.70268,0.70425,0.77668,0.0
75,0.70242,0.70413,0.77662,0.0
76,0.7026,0.70434,0.7766,0.0
77,0.70245,0.70431,0.77666,0.0
78,0.70247,0.70438,0.77662,0.0
79,0.70249,0.70444,0.7766,0.0
80,0.7027,0.70445,0.77667,0.0
81,0.70258,0.70436,0.77664,0.0
82,0.70255,0.70427,0.77662,0.0
83,0.70277,0.70449,0.77666,0.0
84,0.70259,0.70439,0.77659,0.0
85,0.70264,0.70453,0.77664,0.0
86,0.70271,0.70452,0.77668,0.0
87,0.70269,0.7043,0.77659,0.0
88,0.70267,0.70434,0.77668,0.0
