,C,Um,Ur,Ud,C_target
0,159.714905,0.74032,0.75733,0.78457,0.0
1,-149.926392,0.74022,0.75714,0.78444,0.0
2,286.596893,0.73984,0.75676,0.78447,0.0
3,286.521606,0.73985,0.75657,0.78432,0.0
4,374.332703,0.73951,0.7565,0.78437,0.0
5,-459.289032,0.7394,0.75596,0.78428,0.0
6,371.444122,0.73937,0.75595,0.78426,0.0
7,-337.407532,0.73911,0.75542,0.78411,0.0
8,428.931152,0.73879,0.75525,0.78401,0.0
9,-299.057831,0.73861,0.75494,0.78409,0.0
10,154.822281,0.73846,0.75474,0.78403,0.0
11,82.410652,0.7381,0.7544,0.78402,0.0
12,-273.369812,0.73785,0.75408,0.78391,0.0
13,229.203796,0.73794,0.75381,0.78388,0.0
14,-275.368408,0.73769,0.7535,0.78379,0.0
15,-146.241882,0.73746,0.75308,0.78384,0.0
16,282.06134,0.73737,0.7529,0.78375,0.0
17,177.690277,0.73731,0.75276,0.78374,0.0
18,-339.759003,0.73694,0.75219,0.78357,0.0
19,321.095459,0.7369,0.75205,0.78379,0.0
20,-260.148163,0.7368,0.75188,0.78367,0.0
21,381.901733,0.73661,0.75163,0.78369,0.0
22,-363.176849,0.73636,0.75126,0.78358,0.0
23,247.371704,0.73596,0.75097,0.78355,0.0
24,-312.39679,0.73578,0.75068,0.78357,0.0
25,-278.61264,0.7357,0.75035,0.78359,0.0
26,-185.258255,0.73567,0.7502,0.78342,0.0
27,177.05542,0.73546,0.74995,0.78343,0.0
28,176.27655,0.73543,0.74965,0.78333,0.0
29,369.981934,0.73534,0.74966,0.78335,0.0
30,211.359238,0.73485,0.74923,0.78331,0.0
31,-223.225784,0.73472,0.74888,0.78329,0.0
32,-194.567108,0.73445,0.74864,0.78319,0.0
33,135.956299,0.73437,0.74836,0.78317,0.0
34,218.804886,0.73402,0.74806,0.78313,0.0
35,-213.090363,0.73392,0.74765,0.78306,0.0
36,233.956573,0.73389,0.74768,0.78305,0.0
37,-242.2966,0.73343,0.74718,0.78302,0.0
38,-29.436239,0.7333,0.74687,0.783,0.0
39,-135.410278,0.73328,0.74654,0.78298,0.0
40,332.903595,0.73296,0.74647,0.78288,0.0
41,-205.105255,0.7326,0.74608,0.78288,0.0
42,303.391113,0.73254,0.74603,0.78281,0.0
43,-242.537857,0.73225,0.74559,0.7828,0.0
44,252.537094,0.73216,0.74546,0.78272,0.0
45,138.669846,0.73196,0.74513,0.7827,0.0
46,254.718292,0.73191,0.74486,0.7826,0.0
47,162.256561,0.73178,0.74477,0.7826,0.0
48,-190.5802,0.73132,0.7442,0.78255,0.0
49,372.828705,0.73125,0.74421,0.78256,0.0
50,-340.563843,0.73104,0.74399,0.7825,0.0
51,284.1716,0.73115,0.74376,0.7825,0.0
52,261.328857,0.73095,0.74342,0.78238,0.0
53,391.782867,0.73062,0.74336,0.78253,0.0
54,-422.362488,0.73079,0.7431,0.78254,0.0
55,-206.53215,0.73038,0.74284,0.78234,0.0
56,294.438202,0.7304,0.74251,0.78235,0.0
57,-224.273636,0.73033,0.74217,0.78232,0.0
58,285.468872,0.72993,0.74216,0.78229,0.0
