,val_loss,val_mse,loss,mse
0,365457032.99502486,365456992.0,402665744.83618796,402665760.0
1,175746543.68159205,175746272.0,269673211.98067635,269673056.0
2,45026274.17412935,45025776.0,97710525.91304348,97710136.0
3,14094064.52238806,14093425.0,24557881.0171278,24557300.0
4,10624214.094527364,10623527.0,11677804.950812472,11677142.0
5,9899019.684079602,9898317.0,9897930.581027668,9897237.0
6,9297991.330845771,9297282.0,9306998.400966184,9306294.0
7,8825342.86318408,8824618.0,8813349.44795784,8812632.0
8,8191998.355721393,8191263.0,8290984.434782608,8290254.5
9,7705909.726368159,7705160.0,7764466.782389108,7763726.0
10,7188930.748756219,7188169.0,7325415.265700483,7324660.0
11,6800377.485074627,6799602.0,6931244.8083003955,6930475.0
12,6479910.691542288,6479122.0,6606043.829819938,6605262.0
13,6200652.890547263,6199854.0,6322144.968818621,6321351.5
14,5963153.915422886,5962343.0,6080672.345191041,6079868.5
15,5751507.0,5750684.0,5870006.269653052,5869189.5
16,5582094.742537313,5581262.5,5695512.75428195,5694685.0
17,5435732.304726368,5434891.5,5528332.249231445,5527496.0
18,5337670.389303482,5336819.5,5392922.932586737,5392077.5
19,5159372.288557214,5158513.5,5282924.905577514,5282070.5
20,5048848.247512437,5047982.0,5162664.781400966,5161802.0
21,4955001.730099503,4954127.0,5066436.21541502,5065565.5
22,4850821.480099503,4849939.0,4963284.69367589,4962405.0
23,4776644.904228856,4775756.0,4876794.664251207,4875909.5
24,4683343.526119403,4682447.5,4803510.105401845,4802617.5
25,4632920.232587065,4632015.5,4739014.575647783,4738114.0
26,4538148.930348258,4537239.0,4664476.754062363,4663570.0
27,4477572.5099502485,4476655.5,4603343.7162933685,4602430.5
28,4413908.97761194,4412986.0,4541165.046772068,4540244.0
29,4366561.404228856,4365633.0,4484616.456302152,4483691.5
30,4303787.769900497,4302853.0,4435393.9822134385,4434463.5
31,4269585.4067164175,4268644.0,4390956.138559508,4390018.0
32,4203473.134328358,4202526.0,4345232.231444883,4344288.5
33,4159504.4564676615,4158552.5,4300004.53030303,4299054.5
34,4118343.476368159,4117386.25,4257497.724418094,4256543.0
35,4068216.4017412937,4067254.25,4220105.858146684,4219146.5
36,4031116.364427861,4030148.5,4186734.477272727,4185768.5
37,3988951.487562189,3987978.5,4147521.502635046,4146552.0
38,3932459.7176616914,3931481.25,4091210.385155907,4090234.75
39,3888589.5833333335,3887606.5,4050078.7704216074,4049097.5
40,3844957.6268656715,3843969.5,4007151.4870443568,4006166.75
41,3801486.4191542286,3800492.0,3968373.5915678525,3967383.0
42,3744819.439054726,3743819.75,3924631.009881423,3923634.25
43,3695851.802238806,3694848.75,3876890.0494071147,3875888.0
44,3648308.2276119404,3647299.25,3832052.1169301714,3831045.25
45,3609587.1915422888,3608571.75,3781785.7255160296,3780773.5
46,3545981.266169154,3544962.75,3730647.0340360124,3729630.0
47,3498913.471393035,3497887.75,3683050.891743522,3682028.25
48,3447440.5970149254,3446411.25,3635950.8484848486,3634923.75
49,3401275.7462686566,3400240.5,3591174.6166007905,3590141.75
50,3353239.439054726,3352199.25,3539647.9819938517,3538610.5
51,3303982.972636816,3302936.75,3488750.8001756696,3487707.25
52,3251433.0597014925,3250382.75,3443051.100241546,3442002.5
53,3210314.8308457714,3209258.75,3394267.7037768993,3393214.0
54,3160341.1529850746,3159280.0,3343566.581027668,3342508.25
55,3113629.721393035,3112564.0,3295286.421826965,3294223.25
56,3064318.368159204,3063247.5,3249507.4447738254,3248439.25
57,3016435.618159204,3015359.0,3201350.770531401,3200276.5
58,2969041.060945274,2967959.5,3151932.005599473,3150853.25
59,2925702.932835821,2924616.25,3106160.03321256,3105076.25
60,2896720.606965174,2895628.5,3060836.6523935003,3059747.5
61,2831383.6293532336,2830286.75,3014849.476284585,3013754.5
62,2799475.8706467664,2798373.25,2970881.673693456,2969782.25
63,2742154.3072139304,2741046.75,2923628.4846288976,2922523.25
64,2702986.2276119404,2701873.25,2878374.63921827,2877265.0
