,val_loss,val_mse,loss,mse
0,449409259.77011496,449409248.0,483750003.8102967,483750048.0
1,364026092.50574714,364025984.0,425116201.47907686,425116128.0
2,229296015.44827586,229295824.0,309356191.285823,309356032.0
3,92365887.54022989,92365576.0,161008756.64620847,161008512.0
4,22021410.96551724,22020972.0,51278246.48693888,51277868.0
5,6919906.5344827585,6919388.5,11620367.71975653,11619886.0
6,6181225.5344827585,6180680.0,6837554.258813087,6837019.5
7,6053651.373563218,6053101.5,6588425.2807506975,6587877.5
8,5958109.545977011,5957553.5,6419083.355566828,6418530.5
9,5829585.028735632,5829021.5,6279080.3858737005,6278521.5
10,5727487.804597701,5726917.0,6156391.132893736,6155823.5
11,5622231.67816092,5621654.0,6037239.397793558,6036665.0
12,5520096.149425288,5519511.5,5921280.396145067,5920699.5
13,5428340.0,5427750.0,5809694.393862541,5809107.5
14,5340994.402298851,5340399.0,5706637.85417195,5706046.0
15,5259874.8678160915,5259273.0,5604864.938498605,5604266.5
16,5177964.862068965,5177355.5,5516383.7006086735,5515777.5
17,5124761.8678160915,5124146.5,5430665.642531068,5430054.5
18,5036898.844827586,5036275.0,5345242.290514836,5344623.0
19,4972322.045977011,4971689.0,5267804.3366725845,5267176.0
20,4912742.287356322,4912102.0,5193346.208597515,5192709.5
21,4867977.436781609,4867329.0,5130091.228633021,5129448.0
22,4776072.775862069,4775413.5,5049446.772127821,5048792.5
23,4729596.227011494,4728929.0,4981956.939386254,4981294.0
24,4668364.002873563,4667687.5,4911950.11032209,4911279.0
25,4619973.362068965,4619288.5,4846125.308648237,4845444.5
26,4556506.2011494255,4555811.5,4780691.63733198,4780002.5
27,4490825.712643678,4490121.0,4717910.77301547,4717211.5
28,4449382.140804598,4448669.0,4653585.2683236115,4652876.5
29,4390743.126436782,4390019.5,4588258.050469186,4587539.5
30,4322267.0,4321532.5,4524571.259700735,4523842.5
31,4272125.454022989,4271381.5,4460893.736114633,4460155.5
32,4216473.82183908,4215721.0,4397929.155338575,4397181.0
33,4154786.867816092,4154023.0,4336683.656987065,4335925.5
34,4109333.379310345,4108561.0,4272067.858673599,4271300.5
35,4047457.9827586208,4046675.75,4211131.86266802,4210355.0
36,4009239.8218390807,4008449.0,4151808.8052244484,4151022.25
37,3939284.2155172415,3938482.5,4094261.8761095614,4093466.0
38,3893683.6379310344,3892872.75,4034354.1003043368,4033548.75
39,3844134.9827586208,3843314.5,3976653.1860258686,3975837.5
