,val_loss,val_mse,loss,mse
0,431265768.8584759,431265760.0,514871199.5601979,514871200.0
1,113994185.50544323,113994168.0,318418943.7537108,318418912.0
2,20567136.486780714,20567108.0,41370404.8224299,41370384.0
3,10680775.01088647,10680748.0,16810246.967564598,16810218.0
4,9842128.412130637,9842102.0,10884835.040131941,10884810.0
5,9172136.188180404,9172109.0,9857318.409290818,9857293.0
6,8553593.297822706,8553567.0,9152186.338647608,9152159.0
7,8086349.97978227,8086323.5,8605292.556899395,8605266.0
8,7643323.101088647,7643295.5,8158895.747113799,8158869.0
9,7275828.681959565,7275801.0,7732336.663551402,7732309.5
10,6967735.066874028,6967708.5,7371532.176745464,7371505.0
11,6695193.104976672,6695166.0,7071454.313358989,7071427.0
12,6466698.980171073,6466671.5,6815563.678944475,6815537.0
13,6275332.851088647,6275305.5,6592422.121220451,6592395.5
14,6072673.186625195,6072645.5,6414869.828202309,6414843.0
15,5942556.698678072,5942530.0,6239385.423859264,6239358.5
16,5789566.138802488,5789539.0,6087124.310060473,6087097.0
17,5654819.42340591,5654792.5,5960011.108713578,5959984.5
18,5544375.991446345,5544349.5,5840936.645684442,5840910.0
19,5451554.264385692,5451526.5,5737593.134414514,5737566.0
20,5354556.506609642,5354529.0,5648707.301814184,5648679.5
21,5270037.939346812,5270010.5,5557562.79989005,5557535.5
22,5188488.781493002,5188461.5,5481627.013881253,5481599.0
23,5110324.201788492,5110296.5,5410569.758658604,5410542.5
24,5062509.864696734,5062482.5,5345509.665063222,5345482.0
25,4956672.072317263,4956644.5,5271570.685953821,5271542.5
26,4915688.897356143,4915661.0,5211736.81102254,5211709.0
27,4830754.16096423,4830726.0,5144968.801814184,5144941.5
28,4771225.377527216,4771197.5,5086119.183205058,5086091.0
29,4713308.114696734,4713280.0,5018702.651456844,5018675.0
30,4654493.18895801,4654465.5,4962944.915063222,4962916.5
31,4571467.894245723,4571440.0,4899719.800989554,4899691.5
32,4525212.272161742,4525184.0,4843751.024463992,4843722.5
33,4469024.029548989,4468995.5,4777684.880703683,4777656.5
34,4410370.252721617,4410341.5,4730231.98584387,4730203.5
35,4346190.99688958,4346162.5,4673114.471000549,4673085.5
36,4301934.536741835,4301905.0,4617599.398295767,4617570.5
37,4243239.116835148,4243210.0,4565980.293567894,4565952.0
38,4185252.053849145,4185223.25,4506600.344557449,4506571.5
39,4126164.0620139968,4126134.75,4456302.104727873,4456273.0
40,4075177.3003499224,4075147.75,4401582.426470588,4401553.5
41,4006806.7709953343,4006777.5,4353031.952446399,4353002.5
42,3967607.8934681183,3967578.0,4293766.688290269,4293737.0
43,3897908.0950622084,3897878.25,4234377.723474436,4234348.5
44,3845549.004082426,3845519.25,4178021.06624519,4177991.25
45,3789878.5777604976,3789848.75,4122874.391286421,4122844.5
46,3724274.317651633,3724244.25,4062182.8801539307,4062152.75
47,3678666.1096423017,3678636.0,4011150.8818031885,4011120.75
48,3625208.653965785,3625178.25,3952754.517489005,3952724.0
49,3551391.9525660966,3551361.75,3900696.2842221,3900665.75
50,3509277.511080871,3509246.75,3835320.238042881,3835290.0
51,3440974.723755832,3440944.25,3780096.7975536007,3780066.25
52,3369683.902021773,3369653.25,3717521.5716052777,3717490.75
53,3325130.2146189734,3325099.5,3660589.880428807,3660558.75
54,3265323.28285381,3265292.0,3603661.137438153,3603629.75
55,3211167.5005832035,3211135.75,3546997.7218251787,3546966.5
56,3147142.476671851,3147111.0,3493322.8009895547,3493291.25
57,3086521.5384914465,3086490.0,3432676.8161077513,3432645.0
58,3047813.6986780716,3047782.0,3379422.704507971,3379391.75
59,2986255.1137247276,2986223.0,3331134.145959318,3331102.0
60,2936487.8116251943,2936455.75,3277957.9140324355,3277926.0
61,2871217.1129471227,2871184.75,3221200.139362287,3221168.25
62,2828773.305793157,2828741.25,3168699.5694062673,3168667.5
63,2762054.4924183516,2762022.25,3124013.391836174,3123981.0
64,2727967.1777799376,2727934.5,3070953.0030236393,3070920.5
65,2668383.553265941,2668351.0,3018039.7645684443,3018007.25
66,2623535.351088647,2623502.5,2969203.8976772954,2969171.0
67,2592124.7027604976,2592091.75,2921993.021715228,2921960.25
68,2537966.933903577,2537934.0,2878808.6440351843,2878775.75
69,2495579.004568429,2495545.75,2836077.361737218,2836044.25
70,2456844.9041601866,2456811.75,2792337.5981308413,2792304.25
71,2423321.9471228616,2423288.5,2752941.437603079,2752908.0
72,2372001.610322706,2371968.25,2719127.9274326554,2719094.25
73,2336100.421073095,2336067.0,2674800.7127542607,2674767.75
74,2298856.220937014,2298822.5,2633872.21206707,2633838.5
75,2262591.55462675,2262557.75,2596298.0617097304,2596264.25
76,2240138.901730171,2240105.25,2563960.992028587,2563926.75
77,2196275.8720839815,2196242.0,2526333.049924409,2526299.25
78,2156970.1562986,2156936.25,2491220.695368334,2491186.75
79,2127150.705482115,2127116.5,2457938.325762782,2457904.25
80,2093580.9929043546,2093546.875,2426144.721515943,2426110.75
81,2067117.6783631416,2067083.5,2393674.386098131,2393640.25
82,2033384.600797045,2033350.5,2364600.27528862,2364566.25
83,2010965.6327760497,2010931.375,2335231.0935953823,2335196.75
84,1983772.193429238,1983738.0,2309070.2075659703,2309036.0
85,1945681.6399688958,1945647.625,2274799.2675920837,2274764.75
86,1930756.687013997,1930722.125,2248074.688015393,2248040.25
87,1894448.7861586313,1894414.5,2226700.6200522264,2226666.25
88,1868366.2134525662,1868331.75,2195995.166575041,2195960.75
89,1846720.2919906687,1846685.875,2172422.6014980758,2172388.25
90,1828533.5469479004,1828499.125,2151359.6447567344,2151325.0
91,1809325.505443235,1809291.0,2126596.9375343597,2126562.75
92,1786632.7300738725,1786598.125,2107667.27532298,2107632.75
93,1775734.5350408242,1775699.75,2089162.3719420012,2089127.5
94,1751175.0950622084,1751140.375,2073063.6289169875,2073029.0
95,1735704.650758165,1735670.0,2054093.6304975261,2054058.75
96,1721255.3056473562,1721220.625,2036690.511080951,2036656.0
