,val_loss,val_mse,loss,mse
0,408783858.2033462,408783840.0,418176178.6120964,418176192.0
1,222841147.84041184,222841104.0,303003220.7803547,303003200.0
2,54086889.44144144,54086820.0,124960057.78626649,124960008.0
3,10624117.393822394,10624022.0,23668162.809913598,23668082.0
4,9194120.732303733,9194017.0,9646592.318326512,9646493.0
5,7893176.202702703,7893070.0,8296045.39790814,8295940.5
6,7266644.517374517,7266536.0,7475089.79172351,7474983.0
7,6795762.037323037,6795651.0,6999945.762846748,6999835.0
8,6353839.792149292,6353725.5,6573169.164165529,6573056.5
9,5924444.722007722,5924327.5,6151413.245793543,6151296.5
10,5506394.974259974,5506275.0,5750743.550022738,5750625.5
11,5151216.256756756,5151093.5,5379239.584811278,5379118.0
12,4807550.84041184,4807425.0,5044642.233969986,5044518.0
13,4514844.184041184,4514715.5,4742600.711005002,4742473.5
14,4262248.635778636,4262117.5,4485113.986130059,4484983.5
15,4036876.276383526,4036742.5,4251410.891882674,4251278.5
16,3840017.881274131,3839881.5,4053533.306730332,4053398.0
17,3667435.957207207,3667297.25,3883789.560027285,3883651.75
18,3515249.897039897,3515108.75,3736934.138358345,3736794.75
19,3387726.4317889316,3387583.5,3609488.124033652,3609346.0
20,3283024.2995495494,3282879.5,3499746.472032742,3499602.75
21,3190708.8931788933,3190562.25,3403227.4756707596,3403081.5
22,3096778.0913770916,3096629.75,3323068.6208503866,3322921.0
23,3022405.175997426,3022255.25,3250882.9172351067,3250734.0
24,2957420.246138996,2957269.25,3185521.8143474306,3185371.5
25,2898245.2783140284,2898093.0,3127805.5754320147,3127654.25
26,2834532.1525096525,2834379.0,3075078.8429968166,3074926.0
27,2788355.6981981983,2788201.5,3027906.445657117,3027752.5
28,2751933.0862290864,2751778.0,2983590.8274215553,2983435.75
29,2700373.1785714286,2700217.0,2942241.084470214,2942085.75
30,2657660.7805662807,2657503.75,2900553.005343338,2900396.5
31,2613147.850707851,2612990.25,2862593.6746248296,2862436.75
32,2580798.479407979,2580640.0,2829320.0954979537,2829161.75
