,val_loss,val_mse,loss,mse
0,361713096.2758621,361713088.0,366782977.997716,366782976.0
1,358106219.86206895,358106208.0,364702292.82375336,364702304.0
2,350818097.1034483,350818080.0,359428910.2154549,359428928.0
3,339707716.6896552,339707680.0,350240437.1587362,350240480.0
4,325037814.8965517,325037792.0,337293229.8378378,337293184.0
5,307408082.48275864,307408064.0,321041836.4613628,321041792.0
6,287308278.20689654,287308224.0,301926320.23753333,301926240.0
7,265577039.1724138,265576944.0,281066426.6037305,281066368.0
8,243455060.55172414,243454944.0,258714024.21012563,258713920.0
9,220787294.4827586,220787152.0,236444805.06128663,236444656.0
10,199200689.10344827,199200528.0,214062281.04453748,214062128.0
11,178916712.96551725,178916528.0,192883041.90635705,192882880.0
12,160699069.37931034,160698848.0,173455192.2710316,173454976.0
13,144332890.96551725,144332656.0,156030597.4145413,156030352.0
14,130415407.44827586,130415128.0,140908385.91244766,140908096.0
15,118618812.20689656,118618512.0,128030849.7906357,128030536.0
16,109013823.1724138,109013496.0,117132448.08526836,117132144.0
17,100700937.10344827,100700584.0,108377590.04491816,108377248.0
18,94048312.55172414,94047936.0,101260892.647126,101260528.0
19,88674610.7586207,88674216.0,95407339.22192615,95406960.0
20,84166086.20689656,84165680.0,90547581.75561477,90547192.0
21,80018987.72413793,80018568.0,86417556.6379901,86417144.0
22,76402837.44827586,76402400.0,82671297.40692805,82670872.0
23,73086172.68965517,73085720.0,79390126.02055576,79389680.0
24,69946615.72413793,69946144.0,76262593.27293491,76262144.0
25,67001228.79310345,67000756.0,73324893.39322421,73324424.0
26,64231237.72413793,64230748.0,70505364.28778073,70504872.0
27,61574026.68965517,61573532.0,67813813.60791777,67813328.0
28,58988982.20689655,58988476.0,65194918.59611724,65194420.0
29,56518742.62068965,56518232.0,62659488.919680245,62658984.0
30,54079248.655172415,54078724.0,60174560.3852303,60174040.0
31,51694370.62068965,51693836.0,57768820.036543585,57768280.0
32,49457080.96551724,49456544.0,55440133.72516178,55439600.0
33,47330608.51724138,47330056.0,53200927.12143129,53200384.0
34,45236572.344827585,45236012.0,51047357.843928434,51046808.0
35,43192707.827586204,43192144.0,48937435.1092501,48936872.0
36,41337269.137931034,41336692.0,46903304.04111154,46902732.0
37,39599398.51724138,39598812.0,44990445.51655881,44989864.0
38,37784193.551724136,37783596.0,43113282.845831744,43112692.0
39,36173731.51724138,36173128.0,41330117.437381044,41329516.0
40,34565933.0,34565320.0,39649762.953939855,39649160.0
41,33107689.01724138,33107068.0,38008890.885420635,38008284.0
42,31675157.75862069,31674532.0,36446071.319375716,36445448.0
43,30324545.24137931,30323908.0,34953248.39665017,34952612.0
44,29040672.94827586,29040026.0,33528285.782261133,33527642.0
45,27846939.603448275,27846286.0,32172931.330795586,32172280.0
46,26714979.51724138,26714318.0,30879231.92843548,30878574.0
