,val_loss,val_mse,loss,mse
0,249364649.01149425,249364624.0,436750125.36647224,436750176.0
1,15966596.931034483,15966532.0,70230782.98224702,70230736.0
2,10642859.977011494,10642790.0,14258006.871924931,14257938.0
3,7299363.212643678,7299292.0,9365213.124778088,9365143.0
4,5666718.028735632,5666638.0,6505409.794319047,6505334.0
5,4993257.879310345,4993169.5,5297969.883210753,5297885.5
6,4586792.8965517245,4586699.0,4764528.869261983,4764438.0
7,4477703.807471264,4477605.5,4416324.260588384,4416228.0
8,4301097.060344827,4300995.0,4265807.044065433,4265707.0
9,4300136.66954023,4300032.0,4124899.460943444,4124796.5
10,4289475.120689655,4289369.0,4078852.805541466,4078747.75
11,4302267.899425288,4302161.0,4033873.9242328177,4033767.25
12,4190120.7959770113,4190013.0,3974590.6779736243,3974483.0
13,4086096.0488505745,4085986.5,3927403.9208090287,3927295.25
14,3889401.864942529,3889290.25,3756553.504945473,3756442.75
15,3437590.209770115,3437476.5,3434786.830522445,3434674.25
16,2914118.514367816,2914001.0,2994760.944078113,2994645.0
17,2486301.9353448274,2486181.75,2500305.101952828,2500186.25
18,2115860.054597701,2115738.5,2102821.7292987574,2102700.75
19,1886862.0704022988,1886739.0,1816990.290071012,1816867.625
20,1725103.5890804597,1724979.5,1653626.0617233072,1653502.625
21,1584939.2852011495,1584814.0,1467915.637696551,1467791.0
22,1545238.95545977,1545113.375,1374132.170904134,1374006.875
23,1501604.9396551724,1501479.125,1327809.2644242963,1327683.625
24,1483611.5653735632,1483485.375,1289521.3662344662,1289395.375
25,1451765.0854885057,1451638.625,1261934.7561184377,1261808.25
26,1431889.8814655172,1431763.0,1239107.1572723815,1238980.5
27,1416766.2772988505,1416638.625,1228606.791212275,1228479.25
28,1422119.0675287356,1421991.0,1204488.8062230535,1204361.125
29,1405040.9827586208,1404912.25,1212051.9396081665,1211923.5
30,1379796.3728448276,1379667.125,1186343.6037598276,1186214.5
31,1372505.966235632,1372376.125,1159826.406416434,1159696.875
32,1354033.087643678,1353902.75,1142923.867645194,1142793.75
33,1336065.3742816092,1335934.375,1136533.4874144052,1136402.875
34,1333693.0869252873,1333561.375,1121045.8427434694,1120914.625
35,1326394.691091954,1326262.375,1108559.5545270098,1108427.625
36,1310985.0826149425,1310851.875,1098539.5332868374,1098407.0
37,1313011.0050287356,1312877.0,1090096.856105757,1089963.125
38,1295585.1853448276,1295450.0,1085254.8566763885,1085120.25
39,1294222.1264367816,1294086.125,1074726.6880864825,1074591.375
