,val_loss,val_mse,loss,mse
0,289902874.7586207,289902848.0,352861268.74457556,352861248.0
1,88815690.55172414,88815688.0,172487227.00266463,172487232.0
2,45336355.24137931,45336360.0,70597583.97716026,70597576.0
3,18638796.879310343,18638792.0,33712266.638751425,33712264.0
4,8238956.767241379,8238951.5,13799174.444613628,13799171.0
5,5349629.237068965,5349624.5,6968149.144461363,6968144.0
6,4258073.607758621,4258068.0,5032066.5923106205,5032062.0
7,3821167.4676724137,3821162.25,4296732.2143129045,4296726.5
8,3759814.519396552,3759808.5,4088350.35677579,4088344.25
9,3689716.4935344825,3689711.25,4052106.371716787,4052100.25
10,3659611.4655172415,3659605.75,4047605.8098591547,4047600.75
11,3733416.974137931,3733411.25,4046362.745146555,4046356.75
12,3645671.478448276,3645665.75,4044723.008374572,4044717.25
13,3765817.452586207,3765811.5,4024102.450133232,4024097.0
14,3675496.896551724,3675491.0,4042564.547773125,4042559.75
15,3692105.8879310344,3692100.5,4033245.5142748384,4033239.75
16,3643517.8814655175,3643512.25,4059460.5180814615,4059454.75
17,3665011.9978448274,3665006.25,4044163.5298819947,4044158.0
18,3708167.691810345,3708162.25,4035452.052150742,4035446.5
19,3643757.144396552,3643751.25,4029436.563380282,4029430.75
20,3740694.5172413792,3740688.5,4023513.895127522,4023508.5
21,3679756.0603448274,3679750.25,4035854.1036353256,4035849.0
22,3644513.2478448274,3644507.5,4027325.675866007,4027320.25
23,3696941.4094827585,3696935.5,4022249.4996193377,4022244.75
24,3620307.853448276,3620302.0,4026226.6601636847,4026221.0
25,3655493.1875,3655487.5,4021414.655500571,4021409.0
26,3652728.308189655,3652722.5,4004613.605824134,4004608.0
27,3658628.9870689656,3658623.25,3998129.801294252,3998124.0
28,3621499.3146551726,3621493.5,3990220.1084887707,3990213.75
29,3587713.855603448,3587708.5,3980996.152264941,3980991.25
30,3652063.0323275863,3652057.5,3988607.9294822994,3988602.0
31,3583078.786637931,3583073.0,3960523.1593071944,3960517.75
