,val_loss,val_mse,loss,mse
0,379270686.88557214,379270688.0,410069789.06280196,410069760.0
1,73066012.24875621,73066016.0,233052255.19894597,233052240.0
2,13297594.417910447,13297591.0,29192825.62274923,29192822.0
3,6255284.419154229,6255281.0,8436384.776679842,8436381.0
4,4237203.304726368,4237199.5,5172619.1916996045,5172616.0
5,3626634.371890547,3626630.25,4058917.0995827843,4058913.0
6,3313014.2885572137,3313010.0,3622066.1236275802,3622061.5
7,3014251.720149254,3014247.25,3330616.019982433,3330611.5
8,2751366.7549751243,2751361.5,3057691.766249451,3057687.0
9,2487927.23880597,2487922.0,2787603.281400966,2787598.25
10,2305907.6243781094,2305902.0,2551578.222551603,2551572.5
11,2055349.9247512438,2055343.75,2343165.1139657446,2343159.25
12,1879650.1722636817,1879644.0,2148880.251866491,2148874.0
13,1742896.217039801,1742890.0,1988976.8112373736,1988970.75
14,1618405.320273632,1618398.75,1853944.7996267017,1853938.5
15,1532326.2052238807,1532319.375,1738876.4084321475,1738869.625
16,1418910.5233208956,1418903.375,1627749.318511199,1627742.25
17,1343237.2596393034,1343229.875,1539001.1554677207,1538993.875
18,1317389.4611318407,1317382.0,1468931.7522507685,1468924.625
19,1264980.8902363183,1264973.5,1421637.7996815986,1421630.375
20,1210953.984608209,1210946.375,1380561.081796223,1380553.25
21,1204490.9673507463,1204483.125,1340481.3882301273,1340473.625
22,1155764.2681902985,1155756.375,1311804.1510485287,1311796.375
23,1143679.7058457711,1143671.75,1293756.3978645147,1293748.375
24,1121265.7157960199,1121257.75,1273449.0285737813,1273441.125
25,1122995.5486629354,1122987.5,1256715.6123737374,1256707.625
26,1090206.2758084578,1090198.125,1237647.6705917874,1237639.625
27,1103803.0087064677,1103794.75,1230861.2314997804,1230853.0
28,1083526.3490360696,1083518.0,1217219.002415459,1217210.625
29,1063451.4432524876,1063443.125,1205896.3173583662,1205888.0
30,1061189.1558613183,1061180.875,1195137.7039964865,1195129.125
31,1044601.7797341418,1044593.375,1184633.442687747,1184625.25
32,1055613.7791511193,1055605.25,1181437.8081906016,1181429.25
33,1036407.7293998756,1036399.125,1171332.663510101,1171324.125
34,1023701.501710199,1023692.875,1160840.0545674132,1160831.375
35,1013324.2035914179,1013315.5625,1150982.7806324111,1150974.25
36,1019770.6824471393,1019762.0625,1149030.773303689,1149022.125
37,1001158.4080379353,1001149.75,1135394.7500411726,1135386.125
38,992323.8853000621,992315.0625,1124980.149209486,1124971.5
39,994968.9088152985,994960.1875,1118186.6918093984,1118177.875
40,989436.7351912314,989427.875,1113967.9918752746,1113959.125
41,978564.0651430348,978555.0625,1108051.3623188406,1108042.375
42,994234.5316386815,994225.5625,1100085.3012461571,1100076.25
43,976612.9853855722,976604.0,1101501.010924462,1101492.0
44,967794.874261505,967785.875,1091872.4329161176,1091863.5
45,963204.621851679,963195.625,1089328.1485507246,1089319.25
46,967968.9888059702,967959.9375,1083203.3571997145,1083194.25
47,956466.0035758707,956456.9375,1083663.230017567,1083654.125
48,960306.6432680348,960297.5,1082112.0185551164,1082103.0
49,958297.2103544776,958287.9375,1080157.5302755819,1080148.375
50,960689.6163712686,960680.375,1069927.3974527887,1069918.375
51,949553.1456001244,949543.875,1067987.0480621431,1067977.75
52,961361.8506296641,961352.625,1064668.201114405,1064658.875
53,937468.3480643657,937459.125,1056877.2764877032,1056868.125
54,950796.0074238185,950786.625,1053582.9535573123,1053573.625
55,932158.9575559702,932149.625,1052913.5151515151,1052904.125
56,934149.5659981343,934140.1875,1052173.722702569,1052164.375
57,929403.7958644278,929394.4375,1050348.2182147563,1050338.875
58,934629.1723025497,934619.75,1039474.0285188844,1039464.5625
59,928732.7026974503,928723.1875,1038797.979194115,1038788.625
60,930444.9048118781,930435.4375,1038451.8429951691,1038442.5
61,920704.6378847947,920695.1875,1030259.393115942,1030249.9375
62,913842.6783854166,913833.125,1033280.1196201142,1033270.5
63,917418.7917638371,917409.125,1028421.1214866051,1028411.5625
64,923862.8158037935,923853.3125,1025221.0539635485,1025211.5
65,908707.2156599814,908697.5625,1027068.9266578832,1027059.1875
66,907663.291744403,907653.625,1019790.8608366272,1019781.125
67,913710.6595149253,913701.0,1021135.8743137901,1021126.125
68,916473.9083294466,916464.25,1017370.7480237155,1017361.0625
69,903318.8948324783,903309.1875,1011808.0430665349,1011798.375
70,900244.5267801617,900234.8125,1011270.7065491875,1011261.0625
71,902436.6409748135,902426.8125,1009973.627689943,1009963.75
72,902231.8911691542,902222.0625,1003315.7899923144,1003306.0625
73,891945.3928987873,891935.625,1004829.1493330039,1004819.4375
74,894981.0565531716,894971.25,999860.84195213,999851.0
75,888643.0292677239,888633.125,996938.5163592446,996928.5625
76,898102.8430503731,898093.0,996185.753458498,996175.8125
77,885883.3655161691,885873.375,990624.2365777339,990614.3125
78,883225.7667521766,883215.8125,991660.8156702898,991650.9375
79,880851.8149292599,880841.875,988110.6996596399,988100.75
80,886589.3708896922,886579.3125,988625.9565217391,988616.0
81,883831.1945059857,883821.0625,989044.3252360562,989034.25
82,877127.2723880596,877117.1875,981337.762022398,981327.6875
83,895762.0409670398,895752.0625,978734.5947518665,978724.5625
84,876634.022465796,876623.8125,984861.4746376812,984851.3125
85,871138.8458100124,871128.6875,975940.1703996486,975930.125
86,868827.0543862717,868816.9375,970575.2123407993,970564.9375
87,867401.0239525031,867390.8125,968285.8818346509,968275.75
