,val_loss,val_mse,loss,mse
0,14727494.045045044,14727488.0,240778988.4865848,240778944.0
1,8480441.781209782,8480433.0,15479864.485675307,15479858.0
2,4792864.854247104,4792856.5,5805019.077307867,5805011.0
3,4419836.511904762,4419828.0,4925284.10618463,4925275.5
4,4330135.484877734,4330127.0,4785999.453842656,4785991.5
5,4134498.763835264,4134490.0,4603125.004888586,4603116.5
6,3930996.983268983,3930987.75,4408003.714643019,4407994.5
7,3677338.1354568857,3677328.25,4181567.1571168713,4181557.25
8,3358937.4527027025,3358927.25,3883138.051841746,3883128.25
9,2934372.0778635778,2934361.5,3540763.020463847,3540752.5
10,2562796.8336550836,2562785.25,3071780.079581628,3071768.75
11,2148883.4552767053,2148871.0,2645788.102603456,2645776.25
12,1877688.747908623,1877675.375,2293046.573556162,2293033.75
13,1588569.0033783785,1588555.0,2010017.0372328332,2010003.5
14,1349048.6370656372,1349033.75,1739179.4275238744,1739164.875
15,1150942.4428893179,1150926.875,1496337.4384095042,1496322.0
16,985641.4061293437,985625.3125,1303096.920702592,1303081.25
17,912329.6184041185,912313.1875,1199772.3306048203,1199756.0
18,883528.7497586872,883512.0,1161571.5777626194,1161554.875
19,864635.8451576576,864619.0,1141264.8929627102,1141248.0
20,854352.0611325612,854335.125,1124597.783708504,1124580.875
21,848286.5805984556,848269.4375,1115157.872413597,1115140.75
22,845108.7053571428,845091.5,1108927.272737608,1108910.0
23,863954.3464446589,863936.875,1104230.485902683,1104213.25
24,846620.999034749,846603.5625,1097498.9728854024,1097481.375
25,858907.1327220077,858889.5625,1095081.5382133925,1095063.875
26,828426.6737451737,828409.0,1087317.3331059574,1087299.75
27,823678.5539736165,823660.75,1088956.6215325147,1088938.875
28,825505.028957529,825487.0625,1082578.6809629377,1082560.875
29,818870.4570463321,818852.5,1078887.4101296044,1078869.5
30,815863.8945463321,815845.8125,1080014.6613233287,1079996.625
31,820187.6986808237,820169.5625,1078610.9840268304,1078593.0
32,823052.9866473617,823034.8125,1073726.9447191905,1073708.875
33,814530.2619047619,814512.0,1072995.5530923146,1072977.375
34,817078.2673745174,817060.0,1073131.712795589,1073113.5
35,816721.6239543115,816703.25,1070385.8431673488,1070367.375
36,813497.1266087516,813478.8125,1066412.820998181,1066394.375
37,812199.6188063063,812181.1875,1067013.559231469,1066995.125
38,815804.2442084942,815785.75,1070869.1540472943,1070850.625
39,819288.5422297297,819270.0,1066322.7748692587,1066304.375
40,806527.2134813385,806508.625,1067922.5647453389,1067904.0
41,815195.9985521236,815177.375,1062637.244884038,1062618.625
42,806878.6199324324,806859.9375,1067399.2237096408,1067380.5
43,813049.7326254826,813030.9375,1064796.4168940426,1064777.75
44,815132.2427606178,815113.5625,1066552.906605275,1066534.125
45,829687.2562741312,829668.5,1067091.9667746704,1067073.25
46,821371.2215250966,821352.4375,1076308.1394952252,1076289.25
47,815146.4348455599,815127.5625,1062289.6342087314,1062270.625
48,804898.8879504504,804880.0625,1061488.1694236016,1061469.375
49,834788.2422779923,834769.375,1060985.7997385175,1060967.0
50,805351.1056145431,805332.1875,1064896.7115734424,1064877.75
51,808336.8541666666,808317.875,1074304.6124658936,1074285.5
52,812696.7318211069,812677.75,1067215.1259095042,1067196.0
53,803815.003056628,803796.0,1064336.6524556617,1064317.75
54,806751.3725868725,806732.375,1057342.6662971806,1057323.625
55,810265.2017374517,810246.1875,1057521.082821737,1057502.0
56,810344.9786036036,810326.0,1064415.7572334015,1064396.875
57,815908.0061132561,815888.9375,1067785.8628353798,1067766.875
58,801430.9227799227,801411.875,1063928.232762051,1063909.25
59,807879.7528153153,807860.625,1058185.4087866645,1058166.25
60,813521.8101673102,813502.6875,1060608.443070714,1060589.25
61,808306.3877895753,808287.1875,1060700.98868804,1060681.75
62,825704.7868404118,825685.5625,1066722.477404502,1066703.375
63,806505.1821106821,806486.0,1062766.073840382,1062746.875
64,803780.2142857143,803761.0,1083762.3310027285,1083743.125
65,798654.719916345,798635.5,1060291.38108231,1060272.25
66,802609.1163931789,802589.8125,1055934.363886994,1055915.125
67,805365.8330920206,805346.4375,1059078.30684402,1059059.0
68,809339.6288610039,809320.375,1061658.5611073214,1061639.25
69,802722.4741795367,802703.125,1052660.2716575717,1052640.875
70,798383.8092020592,798364.5,1052764.8143900638,1052745.625
71,806914.6467985843,806895.25,1058126.3560709413,1058107.0
72,801252.0082046333,801232.625,1062575.0713960892,1062555.625
73,797546.4161840412,797527.0,1054469.0272567077,1054449.625
74,800793.5975707851,800774.125,1053765.0699181447,1053745.75
75,796580.9781209781,796561.625,1051669.56801387,1051650.125
76,821654.3392857143,821634.875,1051697.028194634,1051677.625
77,804189.2661679536,804169.8125,1059410.5830491132,1059391.125
78,801283.566521879,801264.125,1057487.1771828104,1057467.75
79,797280.1562902188,797260.625,1053775.823613006,1053756.375
80,802606.7347972973,802587.1875,1055386.4297976352,1055366.75
81,801393.2507239382,801373.75,1052797.0439404275,1052777.5
82,799805.8612451737,799786.3125,1054996.915245566,1054977.25
83,795852.1981981982,795832.5625,1055684.352191337,1055664.75
84,815294.4526222651,815274.8125,1052933.7794452023,1052914.125
85,799959.4770752896,799939.875,1059280.0661095954,1059260.375
86,810725.2972168598,810705.625,1058983.2091291496,1058963.5
87,802769.1535553411,802749.4375,1051907.7478115053,1051888.125
88,793948.5543758044,793928.875,1048486.4407116871,1048466.6875
89,814283.0240508366,814263.375,1055835.5355133016,1055815.875
90,791919.5571106821,791899.9375,1063783.1689404275,1063763.5
91,794603.106981982,794583.375,1051474.7267507957,1051455.0
92,792187.5900900901,792167.875,1048311.4372157799,1048291.8125
93,797218.6486486486,797198.9375,1047546.1913085494,1047526.375
94,800661.0783462033,800641.3125,1055242.9583333333,1055223.375
95,795207.9339607465,795188.25,1052499.0302978626,1052479.25
96,790890.5547779923,790870.8125,1049458.610945316,1049438.875
97,798040.5530888031,798020.75,1053434.6373919963,1053415.0
98,787946.2926319176,787926.5,1042649.5516996362,1042629.8125
99,788431.0238095238,788411.125,1040643.9523078672,1040624.3125
100,817397.699002574,817377.875,1042003.1771259663,1041983.3125
101,781354.3816763192,781334.5,1054671.32395407,1054651.375
102,774466.870575933,774446.875,1036199.7687869486,1036179.875
103,804624.8409749034,804604.8125,1028189.4136113006,1028169.4375
104,773553.102960103,773533.0,1025748.8586857662,1025728.8125
105,768238.6322393822,768218.5,1011099.6691393815,1011079.625
106,784706.1581402832,784685.9375,1005048.4542974079,1005028.3125
107,770239.9100707851,770219.625,1014858.2115734424,1014837.875
108,761637.789494852,761617.4375,1002244.0401318781,1002223.6875
109,758440.729488417,758420.1875,997405.9027967257,997385.4375
110,760841.5385296011,760820.9375,986545.6763585721,986525.0625
111,755934.8068693693,755914.125,992761.1352887676,992740.625
112,753498.7247425998,753478.0,992904.8679229195,992884.1875
113,754473.5312097812,754452.6875,989959.3355502501,989938.5
114,771920.7331081082,771899.6875,986465.8578615279,986444.9375
115,745988.7066441441,745967.6875,975415.3785811733,975394.375
116,772832.916023166,772811.75,979462.5898703956,979441.6875
117,745642.7173423424,745621.5,957116.1359851068,957094.875
118,736940.1826737452,736918.875,972555.5441109595,972534.25
119,733870.0441602317,733848.6875,954945.8139779445,954924.5
120,742177.1411679536,742155.6875,949874.9754149613,949853.5625
121,753324.130952381,753302.5625,950161.4073442473,950139.9375
122,743413.1436615187,743391.4375,949741.9134834015,949720.25
123,735028.2281209781,735006.5,945254.5644611187,945232.75
124,729699.3972007722,729677.4375,938735.3373692587,938713.4375
125,743940.0535714285,743918.0625,944285.111044793,944263.1875
126,735200.3206241956,735178.1875,943462.2603171896,943440.25
127,723431.5851029601,723409.375,925244.6179087085,925222.5625
128,728237.6206563707,728215.3125,925622.3506139154,925600.0625
129,740207.4111969112,740185.0625,925832.1539478172,925809.8125
130,729659.1164736165,729636.5625,922533.7397396544,922511.3125
131,720910.6481660232,720888.0625,922301.1639949977,922278.625
132,717915.3322876447,717892.625,915399.4236016371,915376.75
133,717419.4656531531,717396.6875,914075.3630627558,914052.625
134,719440.6338481338,719417.6875,913827.4362778536,913804.5625
135,710172.6634491634,710149.6875,911114.4926671215,911091.5
136,730810.066924067,730786.9375,905819.0408424283,905795.875
137,707563.0945945946,707539.875,915028.8008185539,915005.625
138,717311.863497426,717288.5,902091.4644440655,902068.125
139,700945.3305984556,700921.875,902067.7305593451,902044.375
140,717205.5908140283,717182.0,893943.0274556617,893919.5
141,704240.4073359073,704216.625,905346.5303831287,905322.9375
142,694140.8564189189,694117.0625,890053.5119088222,890029.875
143,699773.0397361647,699749.125,881099.6531377899,881075.8125
144,683880.880550193,683856.8125,887502.8460379718,887478.8125
145,681751.8072715573,681727.6875,872608.0729308777,872583.875
