,val_loss,val_mse,loss,mse
0,22745288.298600312,22745286.0,298509731.4595932,298509728.0
1,11355388.233281493,11355384.0,21443923.333699834,21443924.0
2,6646510.046656298,6646506.0,8130544.066382628,8130540.5
3,5807648.511275272,5807644.0,6506490.557449148,6506487.0
4,5452891.525272162,5452887.0,5931600.020203409,5931595.5
5,4979614.477060653,4979610.0,5456429.865035734,5456425.5
6,4396919.575816485,4396915.0,4882699.770203409,4882695.5
7,4003070.3124027993,4003066.0,4451450.407779,4451446.0
8,3389551.5244945567,3389547.5,3900497.2515118197,3900493.0
9,2956042.0857309485,2956037.25,3485777.7028587135,3485773.75
10,2524476.48911353,2524471.5,2995198.7819543704,2995193.75
11,2109761.584564541,2109756.5,2585548.8744502473,2585544.0
12,1767052.883748056,1767047.125,2212803.8260032986,2212798.25
13,1521548.3589618974,1521542.125,1897863.7961105003,1897857.625
14,1374908.0227935459,1374901.5,1688732.468526663,1688726.25
15,1275480.4680209954,1275473.5,1540931.6156198462,1540925.0
16,1230114.955141913,1230107.875,1441846.1632765254,1441839.125
17,1116392.1362266717,1116384.75,1362419.6992166026,1362412.625
18,1073153.1115377138,1073145.5,1266516.8357270479,1266509.25
19,1039347.8056959565,1039339.875,1219621.1144516217,1219613.375
20,999669.54218507,999661.5625,1181959.391526938,1181951.375
21,988430.32343507,988422.0625,1137439.7524051678,1137431.625
22,947816.6672822706,947808.375,1117428.584902419,1117420.25
23,933591.4683125973,933582.9375,1100332.358266905,1100324.0
24,917703.3979393468,917694.6875,1067763.2302776251,1067754.625
25,920409.0033048212,920400.25,1071244.4697636063,1071235.875
26,904759.2389677294,904750.3125,1050547.7510136063,1050539.0
27,892667.5128061819,892658.375,1021644.7853903243,1021635.8125
28,877873.3013219285,877864.125,1007334.3644172623,1007325.25
29,861168.4155326594,861159.0,1007715.4455057724,1007706.125
30,874393.5130248833,874384.0,978994.4336173722,978984.875
31,830430.4944595646,830420.875,985401.7498625618,985392.25
32,819679.2131366641,819669.4375,949074.7034600055,949065.125
33,824407.7576788492,824397.875,931052.3587135789,931042.5
34,833217.7232212286,833207.6875,920717.7605140187,920707.8125
35,835525.8513316485,835515.8125,920960.3252130292,920950.3125
36,792737.2653576983,792727.0625,901710.0218870258,901699.875
37,793154.3664463452,793144.1875,892133.4152264294,892123.1875
38,779299.2941776827,779289.0625,896532.7992372182,896522.5625
39,762976.0954024106,762965.75,882932.8204714129,882922.3125
40,775958.3527167573,775947.875,872085.8311915888,872075.375
41,768090.7807639969,768080.25,866207.4920973062,866197.0
42,781623.6497375583,781612.9375,878063.705504398,878053.125
43,748516.9096520218,748506.1875,854731.9225192413,854721.25
44,747729.638899689,747718.875,848860.8976429356,848850.1875
45,737751.8771384137,737741.0625,848349.1779909978,848338.375
46,751637.0442991835,751626.1875,833489.3795698186,833478.5625
47,761848.6365182737,761837.8125,845679.7602391423,845668.8125
48,729819.52656007,729808.5625,840056.9707943925,840046.0625
49,730057.4422628304,730046.4375,828068.9573941727,828058.0625
50,721471.0738724727,721460.0625,825144.3091327653,825133.25
51,779873.1618390358,779862.0625,827229.648879879,827218.625
52,723491.4466611586,723480.3125,838277.1442757009,838266.0
53,734162.1220596812,734150.9375,833005.4566039032,832994.4375
54,764862.750631804,764851.5,813680.9760514018,813669.8125
55,708650.6812791602,708639.4375,812796.0563496427,812784.875
56,692700.332499028,692689.0,807495.510273502,807484.1875
57,696713.1667962675,696701.75,792199.9206638263,792188.5625
58,692405.322803266,692393.875,785636.9947429907,785625.5
59,711264.7974582037,711253.3125,796107.0727391423,796095.625
60,683802.6681084759,683791.1875,794852.6577446399,794841.25
61,692143.8960196346,692132.3125,781088.9895718802,781077.4375
62,720710.0989016329,720698.5,779110.0855896097,779098.5
63,697799.7783582815,697788.125,792360.5052570093,792348.875
64,679737.6341611586,679726.0,772829.25,772817.5625
65,663123.9261275273,663112.125,789124.858404343,789113.125
66,682012.6025223561,682000.75,758145.4762575591,758133.625
67,681529.8309681182,681517.9375,763014.4237561848,763002.5625
68,659601.6730657077,659589.75,750314.3036695987,750302.375
69,679495.9049134915,679483.9375,751058.8564802089,751046.875
70,692175.4239891135,692163.3125,753336.7808376856,753324.75
71,673613.6775855365,673601.5625,738890.8976772953,738878.8125
72,679716.8168011275,679704.5625,750540.8118987081,750528.6875
73,662247.8788637248,662235.6875,750456.7705126443,750444.5
74,648180.4828683904,648168.125,724024.3554837822,724012.0
75,679200.39375972,679188.0,717954.1234538208,717941.8125
76,635602.472346423,635590.0,714375.230140187,714362.9375
77,628624.8301419129,628612.25,721615.0763125344,721602.5
78,639528.7466708787,639516.25,706716.3568238043,706703.8125
79,631858.5063909409,631845.9375,705457.800371083,705445.25
80,637850.8066922629,637838.1875,729155.8487836723,729143.25
81,664675.1257533048,664662.5,708560.0680318857,708547.4375
82,653229.2359545102,653216.5,707925.2669736119,707912.5
83,639309.6067262831,639296.875,702506.9644894173,702494.25
84,653054.5044955288,653041.6875,698524.6167537108,698511.75
85,638801.5272647745,638788.75,697772.7121014294,697759.875
86,623965.5223075427,623952.6875,690014.2894447498,690001.5625
87,621592.3003985225,621579.375,679676.27157779,679663.4375
88,648293.3362412519,648280.375,687229.8989142386,687216.9375
89,618825.3391815708,618812.3125,681611.8597100055,681598.875
90,609496.553897745,609483.5,679543.6770375206,679530.75
91,632340.2954412908,632327.1875,673582.8971103629,673569.9375
92,611062.6119265163,611049.5,673026.9069543706,673013.75
93,602271.5294760887,602258.375,670800.2666987355,670787.0625
94,591484.1335536548,591470.8125,673588.8842083563,673575.6875
95,605277.3046024494,605264.0,667762.0192757009,667748.6875
96,621897.3512344479,621884.0,662885.6276456844,662872.25
97,605484.0886226671,605470.6875,675107.1280923585,675093.8125
98,621768.9283145412,621755.4375,669237.7937740517,669224.3125
99,607034.6693963842,607021.0625,662385.6613523915,662372.125
100,582922.3279062986,582908.6875,653614.8744158879,653601.3125
101,592842.6840007777,592829.0625,650729.2881734469,650715.625
102,599247.5222103421,599233.8125,650964.390994365,650950.75
103,575744.5723172629,575730.875,649129.4234469489,649115.75
104,572656.6051224727,572642.8125,652733.4677707532,652719.6875
105,576583.0018954121,576569.1875,634445.0707291095,634431.25
106,578697.4726866252,578683.5625,633667.7625240517,633654.0
107,586849.7012052877,586835.6875,636250.8885548378,636236.8125
108,576377.50468993,576363.4375,631818.5250824629,631804.5625
109,569913.7061382193,569899.625,647097.7830538758,647083.75
110,566822.2829510109,566808.125,639461.7129260583,639447.5625
111,546043.7474727838,546029.5,616873.769859813,616859.625
112,546274.4986391913,546260.25,642379.0562122045,642364.8125
113,567461.7372424183,567447.4375,622122.1974814459,622107.9375
114,533278.7621257777,533264.4375,611651.9302329577,611637.625
115,539599.9166747667,539585.5,610738.7764568444,610724.4375
116,557785.3254276827,557770.875,628587.7192825729,628573.375
117,530048.9029937792,530034.4375,616246.1881528313,616231.6875
118,542602.2840445179,542587.75,598982.0242062947,598967.4375
119,534442.2299280715,534427.6875,597365.1874656405,597350.625
120,545456.6856531881,545442.0625,598357.8575281749,598343.375
121,544223.8747083981,544209.25,608922.0454576691,608907.375
122,569473.9793691679,569459.25,614739.0735465916,614724.3125
123,536462.3278576983,536447.625,605737.417262232,605722.625
124,527939.7159311819,527924.875,591124.1512163277,591109.4375
125,575672.7497812986,575657.875,586354.2740688565,586339.4375
126,525171.0053946346,525156.1875,609560.1320351155,609545.3125
127,561863.5287713842,561848.5625,599724.3896371633,599709.625
128,529291.628280521,529276.6875,609189.6179219352,609174.75
129,532988.6147210342,532973.625,586315.3097855964,586300.375
130,553258.2330870917,553243.1875,594753.6027350193,594738.625
131,517031.0010449067,517015.875,594953.9505738043,594938.875
132,540261.9429918352,540246.8125,578999.0427346757,578983.9375
133,591746.888292185,591731.75,598529.6741169599,598514.5625
134,523669.5087966563,523654.28125,598495.3468423585,598480.25
135,506098.7403771384,506083.4375,573067.6735156679,573052.375
136,509066.5144585925,509051.21875,577834.0492028587,577818.8125
137,499635.12094187405,499619.78125,569921.876185404,569906.625
138,505712.19850797043,505696.75,570414.8599161627,570399.4375
139,492681.27877138415,492665.84375,578348.8619777351,578333.4375
140,510512.14660283824,510496.6875,578958.612424409,578943.1875
141,509602.27031493,509586.75,575282.8931590159,575267.375
